timestamp,scan_ranges
1970-01-01 00:00:01.000460386,1.0003459453582764
1970-01-01 00:00:01.000757217,1.000604510307312
1970-01-01 00:00:01.001643896,1.0013896226882937
1970-01-01 00:00:01.002592087,1.0022435188293457
1970-01-01 00:00:01.003020883,1.0026298761367798
1970-01-01 00:00:01.002743244,1.0023688077926636
1970-01-01 00:00:01.001903534,1.0015987157821655
1970-01-01 00:00:01.001071572,1.0008453130722046
1970-01-01 00:00:01.000799775,1.0005991458892822
1970-01-01 00:00:01.001074672,1.0008409023284912
1970-01-01 00:00:01.001891494,1.0015729665756226
1970-01-01 00:00:01.003659844,1.0031883716583252
1970-01-01 00:00:01.006079197,1.0054346323013306
1970-01-01 00:00:01.008260131,1.0074758529663086
1970-01-01 00:00:01.009598732,1.0087246894836426
1970-01-01 00:00:01.009617329,1.0087207555770874
1970-01-01 00:00:01.008547902,1.0076805353164673
1970-01-01 00:00:01.007957578,1.0070942640304563
1970-01-01 00:00:01.008508444,1.0075922012329102
1970-01-01 00:00:01.010185361,1.009162664413452
1970-01-01 00:00:01.013618350,1.012415051460266
1970-01-01 00:00:01.018405795,1.0169856548309326
1970-01-01 00:00:01.023048997,1.0214382410049438
1970-01-01 00:00:01.026647210,1.0248926877975464
1970-01-01 00:00:01.028261542,1.0264394283294678
1970-01-01 00:00:01.028108001,1.0262795686721802
1970-01-01 00:00:01.026751280,1.024953007698059
1970-01-01 00:00:01.026906967,1.0250861644744873
1970-01-01 00:00:01.027256608,1.025401592254639
1970-01-01 00:00:01.027435064,1.0255430936813354
1970-01-01 00:00:01.027401686,1.0254762172698977
1970-01-01 00:00:01.026701570,1.024760365486145
1970-01-01 00:00:01.023857355,1.0219660997390747
1970-01-01 00:00:01.019442916,1.0176572799682615
1970-01-01 00:00:01.013582706,1.0119572877883911
1970-01-01 00:00:01.006752014,1.0053337812423706
1970-01-01 00:00:01.000948906,0.9997230172157288
1970-01-01 00:00:00.995613575,0.9945809245109558
1970-01-01 00:00:00.990714550,0.9898836612701416
1970-01-01 00:00:00.986971021,0.9863203167915344
1970-01-01 00:00:00.983898103,0.9834250211715698
1970-01-01 00:00:00.981538594,0.9812355041503906
1970-01-01 00:00:00.980361521,0.9801616072654724
1970-01-01 00:00:00.979858756,0.9797065258026124
1970-01-01 00:00:00.979877472,0.9797137975692748
1970-01-01 00:00:00.980355144,0.9801279902458192
1970-01-01 00:00:00.981406271,0.9810653328895568
1970-01-01 00:00:00.983474910,0.9829557538032532
1970-01-01 00:00:00.985954583,0.9852615594863892
1970-01-01 00:00:00.988993704,0.9881218075752258
1970-01-01 00:00:00.992936373,0.9918662309646606
1970-01-01 00:00:00.996702731,0.995459258556366
1970-01-01 00:00:01.000763535,0.999343991279602
1970-01-01 00:00:01.005533934,1.0039170980453491
1970-01-01 00:00:01.010120034,1.008320450782776
1970-01-01 00:00:01.014915586,1.0129293203353882
1970-01-01 00:00:01.019757867,1.0175836086273191
1970-01-01 00:00:01.022200942,1.0199189186096191
1970-01-01 00:00:01.022827983,1.020495891571045
1970-01-01 00:00:01.023397565,1.0210204124450684
1970-01-01 00:00:01.024764061,1.0223288536071775
1970-01-01 00:00:01.028716087,1.0261611938476562
1970-01-01 00:00:01.036357760,1.0335928201675415
1970-01-01 00:00:01.046714425,1.0436800718307495
1970-01-01 00:00:01.061050892,1.057662844657898
1970-01-01 00:00:01.080043316,1.0762044191360474
1970-01-01 00:00:01.095277667,1.0910784006118774
1970-01-01 00:00:01.107026815,1.102540135383606
1970-01-01 00:00:01.115024209,1.1103209257125854
1970-01-01 00:00:01.117261529,1.1124604940414429
1970-01-01 00:00:01.119187474,1.1142873764038086
1970-01-01 00:00:01.125078320,1.1199793815612793
1970-01-01 00:00:01.130571604,1.12528395652771
1970-01-01 00:00:01.134881854,1.129431128501892
1970-01-01 00:00:01.134291887,1.128777265548706
1970-01-01 00:00:01.128251552,1.1227948665618896
1970-01-01 00:00:01.117477179,1.1121784448623655
1970-01-01 00:00:01.102262735,1.097212314605713
1970-01-01 00:00:01.089255333,1.084422945976257
1970-01-01 00:00:01.077199459,1.0725747346878052
1970-01-01 00:00:01.065719962,1.061294674873352
1970-01-01 00:00:01.059318304,1.0549827814102173
1970-01-01 00:00:01.056642175,1.0523091554641724
1970-01-01 00:00:01.054928899,1.0505632162094116
1970-01-01 00:00:01.052392721,1.048012614250183
1970-01-01 00:00:01.046483278,1.0421658754348757
1970-01-01 00:00:01.035710692,1.0315561294555664
1970-01-01 00:00:01.022771239,1.018836259841919
1970-01-01 00:00:01.010227084,1.006507396697998
1970-01-01 00:00:01.000734448,0.997167706489563
1970-01-01 00:00:00.996371269,0.9928577542304992
1970-01-01 00:00:00.995594621,0.9920614361763
1970-01-01 00:00:00.993382156,0.9898651242256165
1970-01-01 00:00:00.988402665,0.984974443912506
1970-01-01 00:00:00.980808735,0.9775363802909852
1970-01-01 00:00:00.969680130,0.9666484594345092
1970-01-01 00:00:00.957329452,0.9545714855194092
1970-01-01 00:00:00.944479346,0.9420143961906432
1970-01-01 00:00:00.931366742,0.9292106628417968
1970-01-01 00:00:00.920347333,0.9184628129005432
1970-01-01 00:00:00.910713911,0.9090821146965028
1970-01-01 00:00:00.902825952,0.9014176726341248
1970-01-01 00:00:00.898117900,0.8968518376350403
1970-01-01 00:00:00.895289958,0.8941114544868469
1970-01-01 00:00:00.894014955,0.8928719758987427
1970-01-01 00:00:00.894328535,0.8931663632392883
1970-01-01 00:00:00.895417452,0.8942093849182129
1970-01-01 00:00:00.898024321,0.8967102766036987
