,timestamp,odom_x,odom_y,odom_yaw,odom_v,odom_w
5429,1747704692044841412,-5.388066970893805,0.3788734964536796,-1.2367885148962292,0.2575054960213037,-0.4162809563850497
5430,1747704692070064166,-5.386751274103994,0.3750529087364122,-1.2415027691647649,0.2668057529249249,-0.3364407683680475
5431,1747704692160815141,-5.385196234524566,0.3704600796890767,-1.2471598742852286,0.2693859584620641,-0.3142836178390901
5432,1747704692186802169,-5.383920232473506,0.3666260521311009,-1.251874128552354,0.2693859584667123,-0.3142836178057993
5433,1747704692297881002,-5.38246334660304,0.3621798107079572,-1.2560712086833945,0.2637159585085437,-0.2656161181583637
5434,1747704692371027005,-5.381328566182771,0.3586830444743951,-1.2576568379607307,0.2518359585450988,-0.1636461184707152
5435,1747704692449389871,-5.3802586858028985,0.3553781135305368,-1.2575043422456385,0.2383359585458769,-0.0477711187414513
5436,1747704692527367723,-5.379052564541018,0.3516679930795977,-1.2550270223934346,0.2221359585430506,0.0912788807590791
5437,1747704692585015440,-5.37810687641773,0.3487911548090606,-1.2510506516833004,0.2086359585422595,0.207153880676652
5438,1747704692669768721,-5.377211460355548,0.3461109880308391,-1.2453361559732063,0.1951359585422678,0.3230288806742754
5439,1747704692738142663,-5.376092889960509,0.3428327264149756,-1.239104486100519,0.1902759584573776,0.3647438813587123
5440,1747704692790934301,-5.37507509139747,0.3398947410823864,-1.235823365371355,0.2005359583900485,0.2766788819111537
5441,1747704692881201567,-5.373756723575253,0.33611989234439,-1.2341803454963296,0.2167359583862871,0.1376288819451198
5442,1747704692925050970,-5.372583047134063,0.3327644474034747,-1.2347230997570386,0.2302359583879368,0.0217538822829457
5443,1747704692979715561,-5.371347546485014,0.3292161019570759,-1.237003979015246,0.2437359583901641,-0.0941211172972044
5444,1747704693046091001,-5.369841573782238,0.3248405475671726,-1.242035359125104,0.2549833716827706,-0.2331711172139972
5445,1747704693095527621,-5.368607081705616,0.3211872677454701,-1.2480090368193648,0.2570816472164204,-0.3446768984160509
