timestamp,odom_x,odom_y,odom_yaw
1740507602952718454,-0.3527927608630473,-3.1995206590736693e-11,-2.9466550542322025
1740507675025624780,-2.975246421644569,-3.997025095961479,-1.100945980310165
1740507747186325338,-4.230988308715428,-2.0591414783512936,-0.6357146578093349
1740507819340364882,-2.7857300564072367,-3.198765938272318,-0.8285449718078215
1740507891483012104,-4.443686133663529,1.6573563675014478,2.143294838351969
1740507963598516934,-2.587612907168585,-3.3982235289177907,-2.2750521158694665
1740508035720773074,-3.278058193856068,-3.1363865158116027,-0.2894350509614818
1740508107835098509,-0.2029163075873091,-0.6620715727190534,1.650295673591517
1740508179998290971,-0.194068980437007,3.804131243808135,-1.6629359605630658
1740508252121522593,-2.297780514848901,1.4763696227159646,0.4754473294668496
1740508324288962948,3.7010903224759377,-3.787148830435303,-0.7943640530322741
1740508396458485733,3.292357182469849,-4.937110816222726,0.2904048988598677
1740508468661111919,6.14686865350034,-4.202809048479858,1.9302959715978167
1740508540812447735,7.085510875998426,1.21168344558303,-0.4641327373370729
1740508612975634584,10.664482696897936,0.3634979643806395,0.3236931965355284
1740508685175162734,7.149086111833609,2.7211533063032545,1.0294599008795715
1740508757349048851,9.495937543920023,4.544555107167271,-1.1595404205239128
1740508829503066724,5.162630374213804,-1.467894573231045,-2.624647790229075
1740508901653420325,2.0611241740700947,-6.094020712887561,-0.8978295143640244
1740508973770000833,8.737042086496382,-8.76457672542419,-0.3851353756818725
1740509045920128741,11.560072688503622,-5.392477632325765,1.3696296721967778
