timestamp,cmd_v,cmd_w
1739998150789645485,1.0,0.0
1739998151282462349,0.0,0.0
1739998151282493890,1.0,0.0
1739998151313260458,0.0,0.0
1739998151313292385,1.0,0.0
1739998151344370417,0.0,0.0
1739998151344405424,1.0,0.0
1739998151372220977,0.0,0.0
1739998151372251413,1.0,0.0
1739998151407913051,0.0,0.0
1739998151407952434,1.0,0.0
1739998151432977384,0.0,0.0
1739998151433012125,1.0,0.0
1739998151467094058,0.0,0.0
1739998151467131430,1.0,0.0
1739998151493572143,0.0,0.0
1739998151493608507,1.0,0.0
1739998151523763342,0.0,0.0
1739998151523790862,1.0,0.0
1739998151553391851,0.0,0.0
1739998151553433340,1.0,0.0
1739998151584065324,0.0,0.0
1739998151584093681,1.0,0.0
1739998151614994366,0.0,0.0
1739998151615026717,1.0,0.0
1739998151645771467,0.0,0.0
1739998151645798737,1.0,0.0
1739998151675506326,0.0,0.0
1739998151675554095,1.0,0.0
1739998151705407512,0.0,0.0
1739998151705439848,1.0,0.0
1739998151735858424,0.0,0.0
1739998151735884978,1.0,0.0
1739998151765852232,0.0,0.0
1739998151765891656,1.0,0.0
1739998151796238794,0.0,0.0
1739998151796271556,1.0,0.0
1739998151828767883,0.0,0.0
1739998151828795218,1.0,0.0
1739998151857399879,0.0,0.0
1739998151857437789,1.0,0.0
1739998151887705515,0.0,0.0
1739998151887769794,1.0,0.0
1739998151921702759,0.0,0.0
1739998151921747063,1.0,0.0
1739998151947139842,0.0,0.0
1739998151947172970,1.0,0.0
1739998151977799387,0.0,0.0
1739998151977838829,1.0,0.0
1739998152008344315,0.0,0.0
1739998152008380749,1.0,0.0
1739998152040940162,0.0,0.0
1739998152040978943,1.0,0.0
1739998152068602032,0.0,0.0
1739998152068631978,1.0,0.0
1739998152098642747,0.0,0.0
1739998152098674039,1.0,0.0
1739998152130602023,0.0,0.0
1739998152130638034,1.0,0.0
1739998152158877959,0.0,0.0
1739998152158910187,1.0,0.0
1739998152190032382,0.0,0.0
1739998152190067152,1.0,0.0
1739998152227637707,0.0,0.0
1739998152227662685,1.0,0.0
1739998152252200945,0.0,0.0
1739998152252229030,1.0,0.0
1739998152281418066,0.0,0.0
1739998152281449231,1.0,0.0
1739998152318887381,0.0,0.0
1739998152318933316,1.0,0.0
1739998152341608726,0.0,0.0
1739998152341641138,1.0,0.0
1739998152374589907,0.0,0.0
1739998152374624003,1.0,0.0
1739998152402415551,0.0,0.0
1739998152402438481,1.0,0.0
1739998152432070581,0.0,0.0
1739998152432099739,1.0,0.0
1739998152468000380,0.0,0.0
1739998152468031346,1.0,0.0
1739998152493085652,0.0,0.0
1739998152493114262,1.0,0.0
1739998152528193875,0.0,0.0
1739998152528227323,1.0,0.0
1739998152555200205,0.0,0.0
1739998152555225604,1.0,0.0
1739998152589736805,0.0,0.0
1739998152589783433,1.0,0.0
1739998152617221328,0.0,0.0
1739998152617262971,1.0,0.0
1739998152650999761,0.0,0.0
1739998152651032802,1.0,0.0
1739998152675636521,0.0,0.0
1739998152675675800,1.0,0.0
1739998152706055529,0.0,0.0
1739998152706088229,1.0,0.0
1739998152746756021,0.0,0.0
1739998152746806815,1.0,0.0
1739998152770618510,0.0,0.0
1739998152770667014,1.0,0.0
1739998152800701326,0.0,0.0
1739998152800731795,1.0,0.0
1739998152827920098,0.0,0.0
1739998152827955231,1.0,0.0
1739998152865458727,0.0,0.0
