timestamp,odom_x,odom_y,odom_yaw
1739138883922064611,-0.3527952634434492,-3.202619281543616e-11,-2.9486759375644485
1739138884621835158,-0.3527952634434492,-3.202619281543616e-11,-2.9486759375644485
1739138885332102460,-0.3527952634434492,-3.202619281543616e-11,-2.9486759375644485
1739138885973806415,-0.3596759091342278,-0.001131487271907,-3.008536962436287
1739138886612913985,-0.4352242482608122,0.0132796263583057,2.635451621314043
1739138887252697374,-0.5086389536853647,0.0587583608365711,2.686956652988988
1739138887889009005,-0.6238818126323988,0.0792516488535577,-2.973231003752465
1739138888529295988,-0.7860928944738692,0.0391244262210724,-2.7538598354067854
1739138889167628524,-0.8148269136138024,0.0127349838814884,-2.209125610463207
1739138889803905515,-0.8944670577371344,-0.0409078477081909,-2.6117210602057823
1739138890442472388,-0.9434904043123664,-0.0808327829382126,-1.997049206402574
1739138891082470287,-0.9685009527161912,-0.2177842254039909,-1.6679274953946372
1739138891719767313,-0.9916949657172358,-0.3294101016897499,-2.122563452425567
1739138892357515149,-1.0654600883665974,-0.3840578487875111,-2.742784512604528
1739138892995578960,-1.0897311056340295,-0.3961758529968462,-2.501241532619893
1739138893631692519,-1.1690676284167791,-0.4252051004188222,-2.863569590862326
1739138894271233441,-1.2718444351527474,-0.4951839012325882,-2.307815377840216
1739138894909968088,-1.3732176269664649,-0.6079020371304791,-2.432981477237912
1739138895549766611,-1.5117658058542522,-0.7204954928861151,-2.4246666068495952
1739138896185073658,-1.5937807142200753,-0.8087035638195037,-2.14687012454804
1739138896823601415,-1.6479427446712578,-0.8867258813925023,-2.346046725084563
1739138897462149920,-1.7734520930317643,-1.0055851757560466,-2.313734162816944
1739138898102357562,-1.8097667067287688,-1.0714830411455074,-1.9568707714519624
1739138898739547352,-1.8596792344964057,-1.192079615080197,-2.159481271319453
1739138899377879709,-1.9282036351842733,-1.2886094530122985,-2.0159373952880864
1739138900014700301,-1.9606551202711275,-1.3394935628005304,-2.356533462836728
1739138900654441086,-2.076718234461292,-1.417977907418073,-2.5668271500026707
1739138901293405900,-2.1831330203402777,-1.5161069554960078,-2.2042430249571194
1739138901930021035,-2.2702851280363667,-1.622177968384091,-2.4394418153638187
1739138902569855051,-2.302361747876676,-1.6615722345335138,-2.16452735641248
1739138903209763869,-2.328627030897228,-1.6886677572772144,-2.4958590980377067
1739138903844358550,-2.404345544678988,-1.7441579311252868,-2.5322250293005104
1739138904485165651,-2.5290415062335634,-1.801216597151478,-2.8982244259392127
1739138905123313214,-2.6055241863855088,-1.8388222452350924,-2.574997903494177
1739138905760274595,-2.651494444001017,-1.8701818571442133,-2.2551946288900537
1739138906401135018,-2.70540596963721,-1.961109564489118,-2.0698854109144924
