local_goals_x,local_goals_y
-0.3527927608630473,-3.1995206590736693e-11
-0.4535314394971099,0.0047120291296328
-0.5487795333181923,0.0375765634237324
-0.6464323490848313,0.0419587284366177
-0.7450423199240962,0.0202282045463755
-0.8381985295059192,-0.0103934875084339
-0.9308374981754126,-0.0481592215561109
-1.009924752965706,-0.1098487323863864
-1.100514071781329,-0.1379690509114113
-1.2010607258522137,-0.1346608655490017
-1.294652047259801,-0.1122381670049766
-1.393970368590782,-0.1193859878704814
-1.4804504760232118,-0.1672910554171652
-1.5779493828212383,-0.1970244042420819
-1.6692884373731702,-0.2324639305652045
-1.7628555151061642,-0.2151033324306599
-1.8573322842339108,-0.1813538847983945
-1.929619561486616,-0.1151442370726767
-2.010790640221848,-0.0538928697533144
-2.090757585452584,0.0086112691832729
-2.153801315179914,0.0824844822063903
-2.210436856102485,0.1641847179152777
-2.294192966455608,0.218102997341196
-2.357957495540998,0.2925016441273874
-2.3933046917635985,0.385661318793485
-2.4337951816244927,0.4785252072002087
-2.4697005216135484,0.5689159270098993
-2.431411910550975,0.6546583243437267
-2.3493188076095737,0.7180129784149699
-2.267742077950381,0.771757582085591
-2.173003352187693,0.7943023694523881
-2.081858105396884,0.8381500498407403
-1.9928465394458532,0.8810193287729778
-1.8971438702992256,0.9035139061429764
-1.7985937247264443,0.9143010336500176
-1.6993088623527564,0.8996865778936268
-1.6005881771666328,0.87738916099275
-1.502137925370298,0.863996908638423
-1.4070413829171522,0.8418669303685269
-1.322968339625559,0.7902927972875048
-1.245619448378685,0.7289617450652808
-1.1710208660224777,0.6591520363851241
-1.1050821555938846,0.5876082780275539
-1.0698289999809256,0.4968264837719026
-1.1013348064787176,0.4025233820933754
-1.1236847215369905,0.30157367762282
-1.142968227541807,0.2041065556590556
-1.183574082964175,0.1163177946330986
-1.242113652409622,0.0353420382583319
-1.3049342794458114,-0.0459955337714769
-1.360582242200442,-0.1281859703203374
-1.3799415907805317,-0.2232876297701626
-1.397322267152981,-0.3230308760862334
-1.4200732771002471,-0.4185862596041557
-1.4452473518538225,-0.5168934041089964
-1.4290842027162711,-0.6142747991694338
-1.4014863269867606,-0.7117936346091539
-1.411001822987827,-0.8094361798066824
-1.466532939077153,-0.8885021154127932
-1.5309174671528134,-0.9671018087956668
-1.5885032028385015,-1.0505480128819893
-1.6324963764479232,-1.1361579783914582
-1.6319730217340414,-1.2341724846728828
-1.6366338695313944,-1.3329532892897038
-1.6580674097884731,-1.4330236627215522
-1.6554138594307823,-1.5323972153956602
-1.637396445266834,-1.6291932716947084
-1.577628355252492,-1.709253438206595
-1.5135676591504232,-1.781192222615968
-1.489847843801158,-1.877813766047572
-1.4446380975445463,-1.968356580453741
-1.4033705514626402,-2.0604688748686324
-1.3749575087666863,-2.15650858227748
-1.3550457197142187,-2.252120627685404
-1.3607139609342176,-2.349593963618421
-1.4220862308842854,-2.4246327204074363
-1.5175769827397003,-2.450125425352724
-1.6158911048979911,-2.4803261440818987
-1.7121994228070496,-2.4862294229616437
-1.8131691470020943,-2.4696638743173134
-1.9059082148401985,-2.4350129431890006
-2.001903799385054,-2.408344236407049
-2.101675695358894,-2.416601367699741
-2.190781050331297,-2.4556563902626487
-2.279615138757962,-2.503181855711249
-2.375444789832244,-2.535923243420993
-2.466436065884666,-2.574898811300492
-2.54273887085345,-2.635967404260967
-2.612256352246758,-2.7090393510728514
-2.7024083092486464,-2.749025024981206
-2.799891926356321,-2.777526386147543
-2.890368171504762,-2.8159987635808386
-2.9914059135936326,-2.833889379217041
-3.090252800627084,-2.837029330552159
